en,de,kind,category,confidence,source,verified_at,note,loc_key,en_id
Ashen Hollow,Aschene Senke,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Wasteland_Name,ashen_hollow
Ashen Thicket,Aschenes Dickicht,biome,,localization,resources.assets,2026-09-22,,Biome_Wasteland_Name,ashen_thicket
Bamboo Flats,Bambusebene,biome,,localization,resources.assets,2026-09-22,,Biome_PoroBiome_Name,bamboo_flats
Bamboo Refuge,Bambuszuflucht,biome,,localization,resources.assets,2026-09-22,,Biome_Town_PoroTown_Name,bamboo_refuge
Citadel,Zitadelle,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Capital_Name,citadel
Coastal Grove,Küstenhain,biome,,localization,resources.assets,2026-09-22,,Biome_Bay_Name,coastal_grove
Coastal Town,Küstenstadt,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Bay_Name,coastal_town
Coral Enclave,Korallenenklave,biome,,localization,resources.assets,2026-09-22,,Biome_Town_CoralForest_Name,coral_enclave
Coral Forest,Korallenwald,biome,,localization,resources.assets,2026-09-22,,Biome_CoralForest_Name,coral_forest
Cursed Royal Woodlands,Verfluchte Königswälder,biome,,localization,resources.assets,2026-09-22,,Biome_CursedRoyalWoodlands_Name,cursed_royal_woodlands
Cursed Village,Verfluchtes Dorf,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Cursed_Name,cursed_village
Marshland Settlement,Sumpfland-Siedlung,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Mushroom_Name,marshland_settlement
Marshlands,Sümpfe,biome,,localization,resources.assets,2026-09-22,,Biome_Mushroom_Name,marshlands
Orchard Town,Obststadt,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Moorlands_Name,orchard_town
Ravine Town,Schluchtstadt,biome,,localization,resources.assets,2026-09-22,,Biome_Town_Cave_Name,ravine_town
Rocky Ravine,Felsschlucht,biome,,localization,resources.assets,2026-09-22,,Biome_Cave_Name,rocky_ravine
Royal Woodlands,Königswälder,biome,,localization,resources.assets,2026-09-22,,Biome_RoyalWoodlands_Name,royal_woodlands
Scarlet Orchard,Scharlachroter Obstgarten,biome,,localization,resources.assets,2026-09-22,,Biome_Moorlands_Name,scarlet_orchard
